"파워링크보고서(2025.06.01.~2025.06.30.),salvatore29:naver"
"광고그룹유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",플레이스_파워링크PC,일반_강아지키워드,-,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지MRI,PC,1,0,0,0,32,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지PDA,PC,1,0,0,0,8,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지PDA수술,PC,3,0,0,0,3.7,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지PSS,PC,1,0,0,0,8,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지결석사료,PC,3,0,0,0,9.7,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지관절,PC,2,0,0,0,6.5,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지관절염,PC,3,0,0,0,7.3,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지구충제,PC,15,0,0,0,9.1,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지기침,PC,1,0,0,0,32,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지뇌수술,PC,1,0,0,0,10,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지뇌종양수술,PC,3,0,0,0,8.7,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지다리골절,PC,3,0,0,0,5,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지뒷다리절뚝,PC,6,0,0,0,6.3,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지디스크보호대,PC,4,0,0,0,4.8,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지디스크약,PC,1,0,0,0,4,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지디스크침치료,PC,1,0,0,0,4,0,0,0,0
"파워링크",플레이스_파워링크PC,일반_강아지키워드,강아지레볼루션,PC,4,0,0,0,2.3,0,0,0,0
