"요일별보고서(2025.06.01.~2025.06.30.),gudo_design:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원)
"월요일",00시~01시,0,0,1.3,0,0,0,0,0
"월요일",01시~02시,0,0,1.5,0,0,0,0,0
"월요일",02시~03시,0,0,7.7,0,0,0,0,0
"월요일",03시~04시,1,33.34,1.3,77,77,0,0,0
"월요일",05시~06시,0,0,1,0,0,0,0,0
"월요일",06시~07시,0,0,1,0,0,0,0,0
"월요일",07시~08시,0,0,1.7,0,0,0,0,0
"월요일",08시~09시,0,0,3.4,0,0,0,0,0
"월요일",09시~10시,0,0,3.3,0,0,0,0,0
"월요일",10시~11시,0,0,3.2,0,0,0,0,0
"월요일",11시~12시,1,4.55,1.8,66,66,0,0,0
"월요일",12시~13시,0,0,3.1,0,0,0,0,0
"월요일",13시~14시,1,6.25,4.9,231,231,0,0,0
"월요일",14시~15시,1,6.25,3.1,66,66,0,0,0
"월요일",15시~16시,0,0,3,0,0,0,0,0
"월요일",16시~17시,2,10,3.1,61,121,0,0,0
"월요일",17시~18시,0,0,3.5,0,0,0,0,0
"월요일",18시~19시,1,7.7,3.6,286,286,0,0,0
"월요일",19시~20시,0,0,4.6,0,0,0,0,0
"월요일",20시~21시,2,13.34,4.7,99,198,0,0,0
"월요일",21시~22시,1,5,1.9,77,77,0,0,0
"월요일",22시~23시,0,0,1.6,0,0,0,0,0
"월요일",23시~00시,0,0,3.8,0,0,0,0,0
"화요일",00시~01시,0,0,1.3,0,0,0,0,0
"화요일",01시~02시,0,0,1.8,0,0,0,0,0
"화요일",02시~03시,0,0,3.7,0,0,0,0,0
"화요일",04시~05시,0,0,1.7,0,0,0,0,0
"화요일",05시~06시,0,0,1,0,0,0,0,0
"화요일",06시~07시,0,0,1.3,0,0,0,0,0
"화요일",07시~08시,1,20,3,77,77,0,0,0
"화요일",08시~09시,0,0,4.8,0,0,0,0,0
"화요일",09시~10시,0,0,2.5,0,0,0,0,0
"화요일",10시~11시,0,0,1.9,0,0,0,0,0
"화요일",11시~12시,2,11.77,5.3,182,363,0,0,0
"화요일",12시~13시,2,13.34,2.4,77,154,0,0,0
"화요일",13시~14시,0,0,3.1,0,0,0,0,0
